Date,direction_cardinal,Direction,Speed
"Friday, 13 January 2023",ESE,337.5,31
"Saturday, 14 January 2023",SSW,247.5,69
"Sunday, 15 January 2023",SE,315,46
"Monday, 16 January 2023",WSW,202.5,31
"Tuesday, 17 January 2023",WSW,202.5,59
"Wednesday, 18 January 2023",S,270,46
"Thursday, 19 January 2023",SSE,292.5,50
"Friday, 20 January 2023",SE,315,54
"Saturday, 21 January 2023",SE,315,44
"Sunday, 22 January 2023",ESE,337.5,35
"Monday, 23 January 2023",SW,225,37
"Tuesday, 24 January 2023",S,270,41
"Wednesday, 25 January 2023",SSW,247.5,46
"Thursday, 26 January 2023",SW,225,46
"Friday, 27 January 2023",NE,45,46
"Saturday, 28 January 2023",NE,45,48
"Sunday, 29 January 2023",ESE,337.5,39
"Monday, 30 January 2023",SW,225,43
"Tuesday, 31 January 2023",SW,225,46
"Wednesday, 1 February 2023",SSE,292.5,39
"Thursday, 2 February 2023",WSW,202.5,74
"Friday, 3 February 2023",SW,225,69
"Saturday, 4 February 2023",SSW,247.5,39
"Sunday, 5 February 2023",SW,225,41
"Monday, 6 February 2023",SW,225,35
"Tuesday, 7 February 2023",ESE,337.5,35
"Wednesday, 8 February 2023",SSW,247.5,35
"Thursday, 9 February 2023",ENE,22.5,30
"Friday, 10 February 2023",ENE,22.5,37
"Saturday, 11 February 2023",SW,225,46
"Sunday, 12 February 2023",SW,225,52
"Monday, 13 February 2023",SW,225,43
"Tuesday, 14 February 2023",WSW,202.5,31
"Wednesday, 15 February 2023",NNW,112.5,37
"Thursday, 16 February 2023",WNW,157.5,46
"Friday, 17 February 2023",SSW,247.5,39
"Saturday, 18 February 2023",SSW,247.5,54
"Sunday, 19 February 2023",WSW,202.5,30
"Monday, 20 February 2023",SSW,247.5,48
"Tuesday, 21 February 2023",SE,315,44
"Wednesday, 22 February 2023",E,0,41
"Thursday, 23 February 2023",NE,45,54
"Friday, 24 February 2023",NE,45,59
"Saturday, 25 February 2023",SW,225,35
"Sunday, 26 February 2023",SW,225,52
"Monday, 27 February 2023",S,270,41
"Tuesday, 28 February 2023",SSE,292.5,41
"Wednesday, 1 March 2023",SSW,247.5,46
"Thursday, 2 March 2023",WSW,202.5,37
"Friday, 3 March 2023",SE,315,43
"Saturday, 4 March 2023",SW,225,30
"Sunday, 5 March 2023",WSW,202.5,52
"Monday, 6 March 2023",W,180,61
"Tuesday, 7 March 2023",WSW,202.5,63
"Wednesday, 8 March 2023",WSW,202.5,63
"Thursday, 9 March 2023",SW,225,33
"Friday, 10 March 2023",SW,225,31
"Saturday, 11 March 2023",SW,225,44
"Sunday, 12 March 2023",SW,225,44
"Monday, 13 March 2023",SW,225,35
"Tuesday, 14 March 2023",SW,225,28
"Wednesday, 15 March 2023",SSW,247.5,28
"Thursday, 16 March 2023",SW,225,33
"Friday, 17 March 2023",NE,45,33
"Saturday, 18 March 2023",NNE,67.5,41
"Sunday, 19 March 2023",SSE,292.5,52
"Monday, 20 March 2023",ESE,337.5,48
