Date,direction_cardinal,Direction,Speed
"Saturday, 8 April 2023",SW,225,35
"Sunday, 9 April 2023",SSW,247.5,43
"Monday, 10 April 2023",S,270,35
"Tuesday, 11 April 2023",SSW,247.5,19
"Wednesday, 12 April 2023",N,90,41
"Thursday, 13 April 2023",E,0,28
"Friday, 14 April 2023",NNW,112.5,20
"Saturday, 15 April 2023",NNW,112.5,54
"Sunday, 16 April 2023",SSW,247.5,35
"Monday, 17 April 2023",N,90,24
"Tuesday, 18 April 2023",NNW,112.5,35
"Wednesday, 19 April 2023",SW,225,28
"Thursday, 20 April 2023",SSW,247.5,17
"Friday, 21 April 2023",SSW,247.5,13
"Saturday, 22 April 2023",SSW,247.5,22
"Sunday, 23 April 2023",SSW,247.5,26
"Monday, 24 April 2023",N,90,39
"Tuesday, 25 April 2023",NNW,112.5,26
"Wednesday, 26 April 2023",N,90,35
"Thursday, 27 April 2023",NNW,112.5,54
"Friday, 28 April 2023",N,90,41
"Saturday, 29 April 2023",S,270,20
"Sunday, 30 April 2023",SSW,247.5,24
"Monday, 1 May 2023",NNW,112.5,17
"Tuesday, 2 May 2023",W,180,35
"Wednesday, 3 May 2023",W,180,44
"Thursday, 4 May 2023",NW,135,19
"Friday, 5 May 2023",NNW,112.5,44
"Saturday, 6 May 2023",SSW,247.5,31
"Sunday, 7 May 2023",SSW,247.5,39
"Monday, 8 May 2023",W,180,28
"Tuesday, 9 May 2023",SW,225,33
"Wednesday, 10 May 2023",SSW,247.5,22
"Thursday, 11 May 2023",N,90,39
"Friday, 12 May 2023",N,90,24
"Saturday, 13 May 2023",S,270,19
"Sunday, 14 May 2023",NNW,112.5,30
"Monday, 15 May 2023",N,90,33
"Tuesday, 16 May 2023",SSW,247.5,39
"Wednesday, 17 May 2023",SE,315,26
"Thursday, 18 May 2023",WSW,202.5,22
"Friday, 19 May 2023",S,270,22
"Saturday, 20 May 2023",NW,135,30
"Sunday, 21 May 2023",S,270,39
"Monday, 22 May 2023",W,180,22
"Tuesday, 23 May 2023",N,90,28
"Wednesday, 24 May 2023",NNW,112.5,46
"Thursday, 25 May 2023",N,90,52
"Friday, 26 May 2023",W,180,30
"Saturday, 27 May 2023",N,90,31
"Sunday, 28 May 2023",NNE,67.5,30
"Monday, 29 May 2023",WSW,202.5,33
"Tuesday, 30 May 2023",NNW,112.5,31
"Wednesday, 31 May 2023",N,90,44
"Thursday, 1 June 2023",NNW,112.5,33
"Friday, 2 June 2023",NNE,67.5,17
"Saturday, 3 June 2023",SSW,247.5,17
"Sunday, 4 June 2023",N,90,15
"Monday, 5 June 2023",N,90,31
"Tuesday, 6 June 2023",NNW,112.5,44
"Wednesday, 7 June 2023",N,90,52
"Thursday, 8 June 2023",N,90,43
"Friday, 9 June 2023",NW,135,41
"Saturday, 10 June 2023",NNW,112.5,43
"Sunday, 11 June 2023",N,90,30
"Monday, 12 June 2023",NNW,112.5,33
"Tuesday, 13 June 2023",N,90,39
"Wednesday, 14 June 2023",NW,135,28
"Thursday, 15 June 2023",NNW,112.5,35
"Friday, 16 June 2023",NW,135,46
"Saturday, 17 June 2023",N,90,57
"Sunday, 18 June 2023",N,90,43
"Monday, 19 June 2023",N,90,39
"Tuesday, 20 June 2023",W,180,24
"Wednesday, 21 June 2023",N,90,31
"Thursday, 22 June 2023",N,90,46
"Friday, 23 June 2023",N,90,31
"Saturday, 24 June 2023",N,90,50
"Sunday, 25 June 2023",N,90,50
"Monday, 26 June 2023",W,180,37
"Tuesday, 27 June 2023",N,90,33
"Wednesday, 28 June 2023",S,270,28
"Thursday, 29 June 2023",NNW,112.5,31
"Friday, 30 June 2023",SSW,247.5,30
"Saturday, 1 July 2023",SSW,247.5,33
"Sunday, 2 July 2023",S,270,17
"Monday, 3 July 2023",N,90,20
"Tuesday, 4 July 2023",NE,45,15
"Wednesday, 5 July 2023",NNW,112.5,31
"Thursday, 6 July 2023",N,90,50
"Friday, 7 July 2023",NNW,112.5,39
"Saturday, 8 July 2023",N,90,52
"Sunday, 9 July 2023",W,180,39
"Monday, 10 July 2023",N,90,44
"Tuesday, 11 July 2023",N,90,28
"Wednesday, 12 July 2023",N,90,39
"Thursday, 13 July 2023",N,90,52
"Friday, 14 July 2023",N,90,48
"Saturday, 15 July 2023",N,90,35
"Sunday, 16 July 2023",SSW,247.5,20
"Monday, 17 July 2023",N,90,33
"Tuesday, 18 July 2023",NW,135,44
"Wednesday, 19 July 2023",W,180,19
"Thursday, 20 July 2023",NNW,112.5,59
"Friday, 21 July 2023",NNW,112.5,26
"Saturday, 22 July 2023",N,90,24
"Sunday, 23 July 2023",SSW,247.5,22
"Monday, 24 July 2023",SSW,247.5,20
"Tuesday, 25 July 2023",SSW,247.5,17
"Wednesday, 26 July 2023",N,90,22
"Thursday, 27 July 2023",N,90,43
"Friday, 28 July 2023",N,90,50
"Saturday, 29 July 2023",NNW,112.5,50
"Sunday, 30 July 2023",NW,135,46
"Monday, 31 July 2023",N,90,41
"Tuesday, 1 August 2023",NNW,112.5,35
"Wednesday, 2 August 2023",N,90,43
"Thursday, 3 August 2023",N,90,48
"Friday, 4 August 2023",N,90,61
"Saturday, 5 August 2023",SSW,247.5,26
"Sunday, 6 August 2023",S,270,20
"Monday, 7 August 2023",SW,225,19
"Tuesday, 8 August 2023",SSW,247.5,15
"Thursday, 10 August 2023",N,90,50
"Friday, 11 August 2023",NNW,112.5,30
"Saturday, 12 August 2023",NNW,112.5,33
"Sunday, 13 August 2023",SSW,247.5,24
"Monday, 14 August 2023",SSW,247.5,26
"Tuesday, 15 August 2023",SSW,247.5,20
"Wednesday, 16 August 2023",N,90,35
"Thursday, 17 August 2023",N,90,44
"Friday, 18 August 2023",WSW,202.5,37
"Saturday, 19 August 2023",W,180,35
"Sunday, 20 August 2023",WNW,157.5,28
"Monday, 21 August 2023",N,90,48
"Tuesday, 22 August 2023",NNW,112.5,39
"Wednesday, 23 August 2023",NW,135,24
"Thursday, 24 August 2023",N,90,39
"Friday, 25 August 2023",N,90,39
"Saturday, 26 August 2023",SSE,292.5,22
"Sunday, 27 August 2023",SSW,247.5,20
"Monday, 28 August 2023",SW,225,20
"Tuesday, 29 August 2023",N,90,41
"Wednesday, 30 August 2023",N,90,44
"Thursday, 31 August 2023",SSW,247.5,39
