Date,direction_cardinal,Direction,Speed
"Sunday, 22 January 2023",NNW,112.5,31
"Monday, 23 January 2023",E,0,63
"Tuesday, 24 January 2023",ENE,22.5,31
"Wednesday, 25 January 2023",NE,45,33
"Thursday, 26 January 2023",NNW,112.5,35
"Friday, 27 January 2023",NNW,112.5,26
"Saturday, 28 January 2023",S,270,41
"Sunday, 29 January 2023",WNW,157.5,33
"Monday, 30 January 2023",SW,225,26
"Tuesday, 31 January 2023",WNW,157.5,30
"Wednesday, 1 February 2023",NW,135,31
"Thursday, 2 February 2023",WNW,157.5,52
"Friday, 3 February 2023",WNW,157.5,39
"Saturday, 4 February 2023",E,0,37
"Sunday, 5 February 2023",E,0,24
"Monday, 6 February 2023",WNW,157.5,33
"Tuesday, 7 February 2023",WNW,157.5,33
"Wednesday, 8 February 2023",W,180,35
"Thursday, 9 February 2023",W,180,46
"Friday, 10 February 2023",NNW,112.5,39
"Saturday, 11 February 2023",WSW,202.5,39
"Sunday, 12 February 2023",SW,225,46
"Monday, 13 February 2023",SSE,292.5,35
"Tuesday, 14 February 2023",WNW,157.5,24
"Wednesday, 15 February 2023",WNW,157.5,37
"Thursday, 16 February 2023",WNW,157.5,33
"Friday, 17 February 2023",WNW,157.5,35
"Saturday, 18 February 2023",WNW,157.5,33
"Sunday, 19 February 2023",WNW,157.5,28
"Monday, 20 February 2023",NE,45,24
"Tuesday, 21 February 2023",NE,45,31
"Wednesday, 22 February 2023",WNW,157.5,26
"Thursday, 23 February 2023",NW,135,44
"Friday, 24 February 2023",WNW,157.5,61
"Saturday, 25 February 2023",WNW,157.5,57
"Sunday, 26 February 2023",WNW,157.5,80
"Monday, 27 February 2023",WSW,202.5,52
"Tuesday, 28 February 2023",NW,135,69
"Wednesday, 1 March 2023",WNW,157.5,78
"Thursday, 2 March 2023",WNW,157.5,65
"Friday, 3 March 2023",W,180,61
"Saturday, 4 March 2023",W,180,48
"Sunday, 5 March 2023",WNW,157.5,43
"Monday, 6 March 2023",W,180,56
"Tuesday, 7 March 2023",S,270,46
"Wednesday, 8 March 2023",WNW,157.5,44
"Thursday, 9 March 2023",WNW,157.5,39
"Friday, 10 March 2023",ENE,22.5,33
"Saturday, 11 March 2023",NNW,112.5,30
"Sunday, 12 March 2023",NW,135,31
"Monday, 13 March 2023",WNW,157.5,31
"Tuesday, 14 March 2023",SSE,292.5,52
"Wednesday, 15 March 2023",NE,45,28
"Thursday, 16 March 2023",SSW,247.5,26
"Friday, 17 March 2023",N,90,24
"Saturday, 18 March 2023",SE,315,59
"Sunday, 19 March 2023",NNE,67.5,33
"Monday, 20 March 2023",ESE,337.5,48
"Tuesday, 21 March 2023",NE,45,26
"Wednesday, 22 March 2023",NNE,67.5,52
"Thursday, 23 March 2023",W,180,33
"Friday, 24 March 2023",ESE,337.5,46
"Saturday, 25 March 2023",ENE,22.5,33
"Sunday, 26 March 2023",N,90,28
"Monday, 27 March 2023",N,90,31
"Tuesday, 28 March 2023",SE,315,35
"Wednesday, 29 March 2023",N,90,24
"Thursday, 30 March 2023",N,90,24
"Friday, 31 March 2023",NW,135,28
"Saturday, 1 April 2023",NE,45,33
"Sunday, 2 April 2023",NW,135,28
"Monday, 3 April 2023",ESE,337.5,72
"Tuesday, 4 April 2023",SSE,292.5,46
"Wednesday, 5 April 2023",NW,135,26
"Thursday, 6 April 2023",NNE,67.5,26
"Friday, 7 April 2023",SSE,292.5,31
"Saturday, 8 April 2023",NE,45,48
"Sunday, 9 April 2023",NE,45,50
"Monday, 10 April 2023",NE,45,43
"Tuesday, 11 April 2023",N,90,39
"Wednesday, 12 April 2023",N,90,43
"Thursday, 13 April 2023",NNE,67.5,31
"Friday, 14 April 2023",SSE,292.5,26
"Saturday, 15 April 2023",W,180,33
"Sunday, 16 April 2023",NW,135,28
"Monday, 17 April 2023",SE,315,43
"Tuesday, 18 April 2023",SE,315,33
"Wednesday, 19 April 2023",ESE,337.5,28
"Thursday, 20 April 2023",ENE,22.5,33
"Friday, 21 April 2023",E,0,46
"Saturday, 22 April 2023",E,0,50
"Sunday, 23 April 2023",ESE,337.5,46
"Monday, 24 April 2023",E,0,48
"Tuesday, 25 April 2023",ENE,22.5,48
"Wednesday, 26 April 2023",ENE,22.5,48
"Thursday, 27 April 2023",E,0,44
"Friday, 28 April 2023",NE,45,30
"Saturday, 29 April 2023",N,90,28
"Sunday, 30 April 2023",NW,135,20
"Monday, 1 May 2023",ESE,337.5,37
"Tuesday, 2 May 2023",ESE,337.5,35
"Wednesday, 3 May 2023",E,0,41
"Thursday, 4 May 2023",SE,315,31
"Friday, 5 May 2023",ESE,337.5,35
"Saturday, 6 May 2023",ESE,337.5,39
"Sunday, 7 May 2023",E,0,50
"Monday, 8 May 2023",SE,315,44
"Tuesday, 9 May 2023",SE,315,41
"Wednesday, 10 May 2023",SE,315,39
"Thursday, 11 May 2023",SE,315,39
"Friday, 12 May 2023",E,0,43
"Saturday, 13 May 2023",ESE,337.5,41
"Sunday, 14 May 2023",E,0,26
"Monday, 15 May 2023",WSW,202.5,28
"Tuesday, 16 May 2023",ESE,337.5,30
"Wednesday, 17 May 2023",SE,315,35
"Thursday, 18 May 2023",SE,315,39
"Friday, 19 May 2023",ESE,337.5,30
"Saturday, 20 May 2023",ESE,337.5,48
"Sunday, 21 May 2023",SE,315,44
"Monday, 22 May 2023",SE,315,31
"Tuesday, 23 May 2023",ESE,337.5,35
"Wednesday, 24 May 2023",E,0,31
"Thursday, 25 May 2023",ESE,337.5,28
"Friday, 26 May 2023",ENE,22.5,33
"Saturday, 27 May 2023",SE,315,37
"Sunday, 28 May 2023",ESE,337.5,31
"Monday, 29 May 2023",ESE,337.5,39
"Tuesday, 30 May 2023",E,0,37
"Wednesday, 31 May 2023",ESE,337.5,35
"Thursday, 1 June 2023",N,90,33
"Friday, 2 June 2023",E,0,31
"Saturday, 3 June 2023",E,0,30
"Sunday, 4 June 2023",ENE,22.5,33
"Monday, 5 June 2023",ENE,22.5,26
"Tuesday, 6 June 2023",SE,315,37
"Wednesday, 7 June 2023",E,0,37
"Thursday, 8 June 2023",E,0,39
"Friday, 9 June 2023",ESE,337.5,43
"Saturday, 10 June 2023",E,0,44
"Sunday, 11 June 2023",SE,315,46
"Monday, 12 June 2023",NW,135,22
"Tuesday, 13 June 2023",E,0,37
"Wednesday, 14 June 2023",ESE,337.5,35
"Thursday, 15 June 2023",ESE,337.5,43
"Friday, 16 June 2023",E,0,46
"Saturday, 17 June 2023",E,0,31
"Sunday, 18 June 2023",E,0,35
"Monday, 19 June 2023",N,90,33
"Tuesday, 20 June 2023",SE,315,31
"Wednesday, 21 June 2023",NNE,67.5,35
"Thursday, 22 June 2023",N,90,22
"Friday, 23 June 2023",N,90,26
"Saturday, 24 June 2023",WSW,202.5,30
"Sunday, 25 June 2023",NNE,67.5,30
"Monday, 26 June 2023",ENE,22.5,41
"Tuesday, 27 June 2023",ENE,22.5,33
"Wednesday, 28 June 2023",E,0,30
"Thursday, 29 June 2023",ENE,22.5,43
"Friday, 30 June 2023",NE,45,44
"Saturday, 1 July 2023",E,0,46
"Sunday, 2 July 2023",SE,315,41
"Monday, 3 July 2023",SSE,292.5,39
"Tuesday, 4 July 2023",ESE,337.5,28
"Wednesday, 5 July 2023",ESE,337.5,26
"Thursday, 6 July 2023",NW,135,26
"Friday, 7 July 2023",SE,315,39
"Saturday, 8 July 2023",ESE,337.5,41
"Sunday, 9 July 2023",SE,315,35
"Monday, 10 July 2023",ESE,337.5,35
"Tuesday, 11 July 2023",E,0,43
"Wednesday, 12 July 2023",ESE,337.5,44
"Thursday, 13 July 2023",ESE,337.5,48
"Friday, 14 July 2023",ENE,22.5,35
"Saturday, 15 July 2023",ESE,337.5,24
"Sunday, 16 July 2023",SE,315,24
"Monday, 17 July 2023",ESE,337.5,44
"Tuesday, 18 July 2023",ESE,337.5,44
"Wednesday, 19 July 2023",ESE,337.5,37
"Thursday, 20 July 2023",ENE,22.5,31
"Friday, 21 July 2023",ENE,22.5,31
"Saturday, 22 July 2023",E,0,43
"Sunday, 23 July 2023",SE,315,44
"Monday, 24 July 2023",SE,315,54
"Tuesday, 25 July 2023",SE,315,44
"Wednesday, 26 July 2023",ESE,337.5,41
"Thursday, 27 July 2023",WNW,157.5,24
"Friday, 28 July 2023",NW,135,33
"Saturday, 29 July 2023",E,0,31
"Sunday, 30 July 2023",ESE,337.5,48
"Monday, 31 July 2023",ESE,337.5,43
"Tuesday, 1 August 2023",E,0,43
"Wednesday, 2 August 2023",E,0,44
"Thursday, 3 August 2023",NNE,67.5,39
"Friday, 4 August 2023",ESE,337.5,41
"Saturday, 5 August 2023",ESE,337.5,35
"Sunday, 6 August 2023",ENE,22.5,54
"Monday, 7 August 2023",ESE,337.5,50
"Tuesday, 8 August 2023",E,0,44
"Wednesday, 9 August 2023",ESE,337.5,41
"Thursday, 10 August 2023",E,0,43
"Friday, 11 August 2023",ESE,337.5,41
"Saturday, 12 August 2023",E,0,48
"Sunday, 13 August 2023",ENE,22.5,35
"Monday, 14 August 2023",E,0,37
"Tuesday, 15 August 2023",NE,45,31
"Wednesday, 16 August 2023",N,90,37
"Thursday, 17 August 2023",NW,135,26
"Friday, 18 August 2023",NW,135,26
"Saturday, 19 August 2023",E,0,52
"Sunday, 20 August 2023",SE,315,43
"Monday, 21 August 2023",E,0,35
"Tuesday, 22 August 2023",E,0,31
"Wednesday, 23 August 2023",E,0,48
"Thursday, 24 August 2023",SE,315,44
"Friday, 25 August 2023",ESE,337.5,48
"Saturday, 26 August 2023",ESE,337.5,48
"Sunday, 27 August 2023",E,0,56
"Monday, 28 August 2023",E,0,54
"Tuesday, 29 August 2023",ESE,337.5,46
"Wednesday, 30 August 2023",E,0,35
"Thursday, 31 August 2023",N,90,30
