Date,direction_cardinal,Direction,Speed,,,
"Thursday, 17 November 2022",SSE,292.5,46,,,
"Friday, 18 November 2022",SSE,292.5,37,,,
"Saturday, 19 November 2022",ENE,22.5,50,,,
"Sunday, 20 November 2022",W,180,70,,,
"Monday, 21 November 2022",W,180,83,,,
"Tuesday, 22 November 2022",W,180,63,,,
"Wednesday, 23 November 2022",W,180,54,,,
"Thursday, 24 November 2022",E,0,33,,,
"Friday, 25 November 2022",E,0,31,,,
"Saturday, 26 November 2022",SSE,292.5,41,,,
"Sunday, 27 November 2022",WSW,202.5,54,,,
"Monday, 28 November 2022",SSW,247.5,31,,,
"Tuesday, 29 November 2022",SSE,292.5,46,,,
"Wednesday, 30 November 2022",E,0,31,,,
"Thursday, 1 December 2022",ESE,337.5,30,,,
"Friday, 2 December 2022",ESE,337.5,33,,,
"Saturday, 3 December 2022",E,0,31,,,
"Sunday, 4 December 2022",ENE,22.5,43,,,
"Monday, 5 December 2022",N,90,41,,,
"Tuesday, 6 December 2022",ESE,337.5,44,,,
"Wednesday, 7 December 2022",NNW,112.5,39,,,
"Thursday, 8 December 2022",SW,225,46,,,
"Friday, 9 December 2022",ESE,337.5,41,,,
"Saturday, 10 December 2022",SSE,292.5,37,,,
"Sunday, 11 December 2022",NE,45,44,,,
"Monday, 12 December 2022",W,180,94,,,
"Tuesday, 13 December 2022",NNE,67.5,43,,,
"Wednesday, 14 December 2022",W,180,59,,,
"Thursday, 15 December 2022",SSE,292.5,57,,,
"Friday, 16 December 2022",S,270,63,,,
"Saturday, 17 December 2022",S,270,54,,,
"Sunday, 18 December 2022",SSE,292.5,56,,,
"Monday, 19 December 2022",SW,225,56,,,
"Tuesday, 20 December 2022",SE,315,43,,,
"Wednesday, 21 December 2022",SE,315,33,,,
"Thursday, 22 December 2022",NE,45,33,,,
"Friday, 23 December 2022",ESE,337.5,30,,,
"Saturday, 24 December 2022",NE,45,39,,,
"Sunday, 25 December 2022",SSE,292.5,31,,,
"Monday, 26 December 2022",NE,45,48,,,
"Tuesday, 27 December 2022",ENE,22.5,35,,,
"Wednesday, 28 December 2022",NE,45,48,,,
"Thursday, 29 December 2022",SSE,292.5,44,,,
"Friday, 30 December 2022",SSW,247.5,31,,,
"Sunday, 1 January 2023",E,0,41,,,
"Monday, 2 January 2023",NE,45,44,,,
"Tuesday, 3 January 2023",E,0,52,,,
"Wednesday, 4 January 2023",S,270,52,,,
"Thursday, 5 January 2023",S,270,65,,,
"Friday, 6 January 2023",SSE,292.5,63,,,
"Saturday, 7 January 2023",S,270,48,,,
"Sunday, 8 January 2023",ESE,337.5,39,,,
"Monday, 9 January 2023",ESE,337.5,28,,,
"Tuesday, 10 January 2023",SSE,292.5,39,,,
"Wednesday, 11 January 2023",E,0,28,,,
"Thursday, 12 January 2023",E,0,35,,,
"Friday, 13 January 2023",ENE,22.5,37,,,
"Saturday, 14 January 2023",ENE,22.5,46,,,
"Sunday, 15 January 2023",NE,45,43,,,
"Monday, 16 January 2023",E,0,30,,,
"Tuesday, 17 January 2023",NE,45,39,,,
"Wednesday, 18 January 2023",NE,45,44,,,
"Thursday, 19 January 2023",SSE,292.5,56,,,
"Friday, 20 January 2023",SSE,292.5,39,,,
"Saturday, 21 January 2023",ESE,337.5,33,,,
"Sunday, 22 January 2023",NE,45,41,,,
"Monday, 23 January 2023",SSE,292.5,33,,,
"Tuesday, 24 January 2023",E,0,33,,,
"Wednesday, 25 January 2023",E,0,28,,,
"Thursday, 26 January 2023",S,270,39,,,
"Friday, 27 January 2023",SSW,247.5,43,,,
"Saturday, 28 January 2023",NNE,67.5,50,,,
"Sunday, 29 January 2023",NE,45,35,,,
"Monday, 30 January 2023",SSW,247.5,50,,,
"Tuesday, 31 January 2023",SW,225,56,,,
"Wednesday, 1 February 2023",WSW,202.5,35,,,
"Thursday, 2 February 2023",NE,45,52,,,
"Friday, 3 February 2023",SE,315,37,,,
"Saturday, 4 February 2023",WSW,202.5,44,,,
"Sunday, 5 February 2023",E,0,33,,,
"Monday, 6 February 2023",ENE,22.5,43,,,
"Tuesday, 7 February 2023",E,0,28,,,
"Wednesday, 8 February 2023",E,0,41,,,
"Thursday, 9 February 2023",ESE,337.5,56,,,
"Friday, 10 February 2023",ENE,22.5,31,,,
"Saturday, 11 February 2023",NE,45,50,,,
