Date,direction_cardinal,Direction,Speed
"Wednesday, 15 March 2023",NW,135,41
"Thursday, 16 March 2023",NNW,112.5,43
"Friday, 17 March 2023",ENE,22.5,43
"Saturday, 18 March 2023",NNE,67.5,43
"Sunday, 19 March 2023",NNE,67.5,37
"Monday, 20 March 2023",ENE,22.5,54
"Tuesday, 21 March 2023",E,0,52
"Wednesday, 22 March 2023",E,0,54
"Thursday, 23 March 2023",E,0,52
"Friday, 24 March 2023",E,0,43
"Saturday, 25 March 2023",E,0,44
"Sunday, 26 March 2023",NNW,112.5,39
"Monday, 27 March 2023",NNW,112.5,37
"Tuesday, 28 March 2023",W,180,37
"Wednesday, 29 March 2023",SE,315,41
"Thursday, 30 March 2023",E,0,35
"Friday, 31 March 2023",SE,315,41
"Saturday, 1 April 2023",ESE,337.5,31
"Sunday, 2 April 2023",SE,315,72
"Monday, 3 April 2023",NW,135,31
"Tuesday, 4 April 2023",NNE,67.5,31
"Wednesday, 5 April 2023",WNW,157.5,57
"Thursday, 6 April 2023",WSW,202.5,50
"Friday, 7 April 2023",ESE,337.5,35
"Saturday, 8 April 2023",ESE,337.5,31
"Sunday, 9 April 2023",E,0,30
"Monday, 10 April 2023",ESE,337.5,33
"Tuesday, 11 April 2023",N,90,39
"Wednesday, 12 April 2023",S,270,28
"Thursday, 13 April 2023",E,0,31
"Friday, 14 April 2023",NW,135,50
"Saturday, 15 April 2023",W,180,56
"Sunday, 16 April 2023",SSE,292.5,39
"Monday, 17 April 2023",ESE,337.5,41
"Tuesday, 18 April 2023",ESE,337.5,35
"Wednesday, 19 April 2023",ESE,337.5,52
"Thursday, 20 April 2023",E,0,52
"Friday, 21 April 2023",SE,315,43
"Saturday, 22 April 2023",ESE,337.5,44
"Sunday, 23 April 2023",ESE,337.5,44
"Monday, 24 April 2023",ESE,337.5,35
"Tuesday, 25 April 2023",ESE,337.5,30
"Wednesday, 26 April 2023",E,0,31
"Thursday, 27 April 2023",NW,135,26
"Friday, 28 April 2023",WNW,157.5,31
"Saturday, 29 April 2023",SSE,292.5,33
"Sunday, 30 April 2023",E,0,31
"Monday, 1 May 2023",E,0,22
"Tuesday, 2 May 2023",WNW,157.5,28
"Wednesday, 3 May 2023",SSW,247.5,33
"Thursday, 4 May 2023",SSW,247.5,22
"Friday, 5 May 2023",SW,225,31
"Saturday, 6 May 2023",SE,315,37
"Sunday, 7 May 2023",ESE,337.5,31
"Monday, 8 May 2023",SE,315,31
"Tuesday, 9 May 2023",ESE,337.5,30
"Wednesday, 10 May 2023",SSE,292.5,26
"Thursday, 11 May 2023",WNW,157.5,37
"Friday, 12 May 2023",NW,135,39
"Saturday, 13 May 2023",WNW,157.5,43
"Sunday, 14 May 2023",ESE,337.5,54
"Monday, 15 May 2023",E,0,48
"Tuesday, 16 May 2023",E,0,41
"Wednesday, 17 May 2023",NNW,112.5,41
"Thursday, 18 May 2023",S,270,30
"Friday, 19 May 2023",N,90,33
"Saturday, 20 May 2023",SSW,247.5,37
"Sunday, 21 May 2023",NW,135,37
"Monday, 22 May 2023",NW,135,33
"Tuesday, 23 May 2023",N,90,33
"Wednesday, 24 May 2023",ESE,337.5,35
"Thursday, 25 May 2023",ESE,337.5,30
"Friday, 26 May 2023",E,0,31
"Saturday, 27 May 2023",ESE,337.5,37
"Sunday, 28 May 2023",ENE,22.5,37
"Monday, 29 May 2023",ENE,22.5,37
"Tuesday, 30 May 2023",NNW,112.5,41
"Wednesday, 31 May 2023",NW,135,41
"Thursday, 1 June 2023",NNW,112.5,43
"Friday, 2 June 2023",ENE,22.5,43
"Saturday, 3 June 2023",N,90,33
"Sunday, 4 June 2023",SSW,247.5,37
"Monday, 5 June 2023",NW,135,37
"Tuesday, 6 June 2023",NW,135,33
"Wednesday, 7 June 2023",N,90,33
"Thursday, 8 June 2023",ESE,337.5,35
"Friday, 9 June 2023",ESE,337.5,30
"Saturday, 10 June 2023",E,0,31
"Sunday, 11 June 2023",NW,135,26
"Monday, 12 June 2023",WNW,157.5,31
"Tuesday, 13 June 2023",SSE,292.5,33
"Wednesday, 14 June 2023",E,0,31
"Thursday, 15 June 2023",E,0,22
"Friday, 16 June 2023",WNW,157.5,28
"Saturday, 17 June 2023",SSW,247.5,33
"Sunday, 18 June 2023",E,0,20
"Monday, 19 June 2023",E,0,28
"Tuesday, 20 June 2023",NE,45,28
"Wednesday, 21 June 2023",NNE,67.5,28
"Thursday, 22 June 2023",WNW,157.5,44
"Friday, 23 June 2023",NW,135,35
"Saturday, 24 June 2023",W,180,26
"Sunday, 25 June 2023",E,0,30
"Monday, 26 June 2023",E,0,30
"Tuesday, 27 June 2023",SSW,247.5,22
"Wednesday, 28 June 2023",SW,225,31
"Thursday, 29 June 2023",SE,315,37
"Friday, 30 June 2023",ESE,337.5,31
"Saturday, 1 July 2023",SE,315,31
"Sunday, 2 July 2023",ESE,337.5,30
"Monday, 3 July 2023",SSE,292.5,26
"Tuesday, 4 July 2023",WNW,157.5,37
"Wednesday, 5 July 2023",NW,135,39
"Thursday, 6 July 2023",WNW,157.5,43
"Friday, 7 July 2023",W,180,31
"Saturday, 8 July 2023",S,270,46
"Sunday, 9 July 2023",E,0,31
"Monday, 10 July 2023",E,0,39
"Tuesday, 11 July 2023",ESE,337.5,39
"Wednesday, 12 July 2023",ENE,22.5,33
"Thursday, 13 July 2023",SE,315,54
"Friday, 14 July 2023",W,180,31
"Saturday, 15 July 2023",S,270,46
"Sunday, 16 July 2023",E,0,31
"Monday, 17 July 2023",E,0,39
"Tuesday, 18 July 2023",ESE,337.5,39
"Wednesday, 19 July 2023",ENE,22.5,33
"Thursday, 20 July 2023",SW,225,35
"Friday, 21 July 2023",E,0,39
"Saturday, 22 July 2023",SSE,292.5,52
"Sunday, 23 July 2023",SE,315,54
"Monday, 24 July 2023",ESE,337.5,54
"Tuesday, 25 July 2023",E,0,48
"Wednesday, 26 July 2023",E,0,41
"Thursday, 27 July 2023",NNW,112.5,41
"Friday, 28 July 2023",S,270,30
"Saturday, 29 July 2023",ENE,22.5,30
"Sunday, 30 July 2023",ESE,337.5,31
"Monday, 31 July 2023",E,0,39
"Tuesday, 1 August 2023",E,0,37
"Wednesday, 2 August 2023",E,0,35
"Thursday, 3 August 2023",NNE,67.5,41
"Friday, 4 August 2023",E,0,33
"Saturday, 5 August 2023",ESE,337.5,35
"Sunday, 6 August 2023",ESE,337.5,35
"Monday, 7 August 2023",NE,45,28
"Tuesday, 8 August 2023",E,0,37
"Wednesday, 9 August 2023",NNE,67.5,30
"Thursday, 10 August 2023",ESE,337.5,37
"Friday, 11 August 2023",E,0,28
"Saturday, 12 August 2023",N,90,30
"Sunday, 13 August 2023",NNW,112.5,46
"Monday, 14 August 2023",NW,135,37
"Tuesday, 15 August 2023",WNW,157.5,31
"Wednesday, 16 August 2023",NW,135,44
"Thursday, 17 August 2023",SW,225,48
"Friday, 18 August 2023",SE,315,37
"Saturday, 19 August 2023",ENE,22.5,37
"Sunday, 20 August 2023",E,0,33
"Monday, 21 August 2023",NW,135,33
"Tuesday, 22 August 2023",ESE,337.5,37
"Wednesday, 23 August 2023",ENE,22.5,35
"Thursday, 24 August 2023",ENE,22.5,28
"Friday, 25 August 2023",SSE,292.5,41
"Saturday, 26 August 2023",ESE,337.5,50
"Sunday, 27 August 2023",E,0,43
"Monday, 28 August 2023",NE,45,33
"Tuesday, 29 August 2023",WNW,157.5,35
"Wednesday, 30 August 2023",SSW,247.5,44
"Thursday, 31 August 2023",SE,315,48
