Date,direction_cardinal,Direction,Speed
"Saturday, 7 January 2023",SSW,247.5,43
"Sunday, 8 January 2023",SSW,247.5,39
"Tuesday, 10 January 2023",SW,225,37
"Wednesday, 11 January 2023",SW,225,35
"Thursday, 12 January 2023",SW,225,33
"Friday, 13 January 2023",S,270,48
"Saturday, 14 January 2023",ESE,337.5,43
"Sunday, 15 January 2023",SSW,247.5,37
"Monday, 16 January 2023",SSW,247.5,50
"Thursday, 19 January 2023",E,0,33
"Friday, 20 January 2023",NNE,67.5,30
"Saturday, 21 January 2023",N,90,35
"Sunday, 22 January 2023",ENE,22.5,26
"Monday, 23 January 2023",WSW,202.5,28
"Tuesday, 24 January 2023",SSW,247.5,43
"Wednesday, 25 January 2023",SW,225,30
"Thursday, 26 January 2023",SW,225,44
"Friday, 27 January 2023",SSW,247.5,43
"Saturday, 28 January 2023",SSW,247.5,41
"Sunday, 29 January 2023",NNE,67.5,30
"Monday, 30 January 2023",SW,225,35
"Tuesday, 31 January 2023",SSW,247.5,52
"Wednesday, 1 February 2023",ESE,337.5,37
"Thursday, 2 February 2023",ENE,22.5,37
"Friday, 3 February 2023",E,0,43
"Saturday, 4 February 2023",E,0,37
"Sunday, 5 February 2023",WSW,202.5,26
"Monday, 6 February 2023",SW,225,35
"Tuesday, 7 February 2023",SE,315,43
"Wednesday, 8 February 2023",SW,225,31
"Thursday, 9 February 2023",SW,225,31
"Friday, 10 February 2023",S,270,48
"Saturday, 11 February 2023",SSW,247.5,39
"Sunday, 12 February 2023",SSW,247.5,35
"Monday, 13 February 2023",SW,225,35
"Tuesday, 14 February 2023",WSW,202.5,39
"Wednesday, 15 February 2023",SSW,247.5,31
"Thursday, 16 February 2023",SW,225,37
"Friday, 17 February 2023",SW,225,41
"Saturday, 18 February 2023",SSW,247.5,41
"Sunday, 19 February 2023",ESE,337.5,33
"Monday, 20 February 2023",E,0,41
"Tuesday, 21 February 2023",SSW,247.5,43
"Wednesday, 22 February 2023",SSW,247.5,37
"Thursday, 23 February 2023",SW,225,46
"Friday, 24 February 2023",E,0,37
"Saturday, 25 February 2023",SE,315,28
"Sunday, 26 February 2023",S,270,31
"Monday, 27 February 2023",ESE,337.5,30
"Tuesday, 28 February 2023",E,0,37
"Wednesday, 1 March 2023",ESE,337.5,37
"Thursday, 2 March 2023",NNE,67.5,33
"Friday, 3 March 2023",SSE,292.5,37
"Saturday, 4 March 2023",S,270,41
"Sunday, 5 March 2023",SW,225,39
"Monday, 6 March 2023",S,270,35
"Tuesday, 7 March 2023",NNE,67.5,33
"Wednesday, 8 March 2023",NE,45,41
"Thursday, 9 March 2023",WSW,202.5,35
"Friday, 10 March 2023",SW,225,31
"Saturday, 11 March 2023",SSW,247.5,30
"Sunday, 12 March 2023",SW,225,37
"Monday, 13 March 2023",SW,225,33
"Tuesday, 14 March 2023",WSW,202.5,31
"Wednesday, 15 March 2023",SW,225,24
"Thursday, 16 March 2023",SSW,247.5,37
"Friday, 17 March 2023",SSW,247.5,44
